                                   | Core 0      
  Instructions                     |    799999986
  Cycles                           |  16854710600
  IPC                              |         0.05
  Time (ns)                        |   6482581000
  Idle time (ns)                   |           -2
  Idle time (%)                    |        -0.0%
Branch predictor stats             |             
  num correct                      |    106029152
  num incorrect                    |      3523483
  misprediction rate               |        3.22%
  mpki                             |         4.40
TLB Summary                        |             
  I-TLB                            |             
    num accesses                   |    124081981
    num misses                     |           22
    miss rate                      |        0.00%
    mpki                           |         0.00
  D-TLB                            |             
    num accesses                   |    319529582
    num misses                     |     12136988
    miss rate                      |        3.80%
    mpki                           |        15.17
  L2 TLB                           |             
    num accesses                   |     12137010
    num misses                     |     11320426
    miss rate                      |       93.27%
    mpki                           |        14.15
Cache Summary                      |             
  NUCA cache                       |             
    num cache accesses             |    294192051
    num cache misses               |     16940292
    miss rate                      |        5.76%
    mpki                           |        21.18
DRAM summary                       |             
  num dram accesses                |    249261609
  average dram access latency (ns) |         0.00
  average dram queueing delay      |         0.00
Coherency Traffic                  |             
  num loads from dram              |    117406567
  num loads from dram cache        |            0
  num loads from remote cache      |            0
